,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,2.0,Food & Drink Shop,Park,Construction & Landscaping,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
1,M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998,0.0,Portuguese Restaurant,Pizza Place,Coffee Shop,Hockey Arena,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1.0,Coffee Shop,Bakery,Pub,Park,Breakfast Spot,Café,Theater,Spa,Shoe Store,Restaurant
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,1.0,Clothing Store,Accessories Store,Coffee Shop,Event Space,Boutique,Miscellaneous Shop,Arts & Crafts Store,Furniture / Home Store,Vietnamese Restaurant,Cosmetics Shop
4,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,1.0,Coffee Shop,Sushi Restaurant,Yoga Studio,Bar,Beer Bar,Smoothie Shop,Sandwich Place,Burrito Place,Café,College Auditorium
5,M9A,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002,,,,,,,,,,,
6,M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001,1.0,Fast Food Restaurant,Dessert Shop,Farmers Market,Falafel Restaurant,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop
7,M3B,North York,Don Mills,43.745905799999996,-79.352188,1.0,Gym,Asian Restaurant,Beer Store,Restaurant,Japanese Restaurant,Coffee Shop,Concert Hall,Café,Discount Store,Supermarket
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1.0,Pizza Place,Breakfast Spot,Pharmacy,Intersection,Athletics & Sports,Bank,Gastropub,Pet Store,Fast Food Restaurant,Gym / Fitness Center
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,1.0,Clothing Store,Coffee Shop,Café,Restaurant,Japanese Restaurant,Cosmetics Shop,Bubble Tea Shop,Italian Restaurant,Middle Eastern Restaurant,Bookstore
10,M6B,North York,Glencairn,43.709577,-79.44507259999999,1.0,Park,Pizza Place,Japanese Restaurant,Pub,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant
11,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001,,,,,,,,,,,
12,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.16049709999999,1.0,Moving Target,Bar,Yoga Studio,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore,Dim Sum Restaurant
13,M3C,North York,Don Mills,43.72589970000001,-79.340923,1.0,Gym,Asian Restaurant,Beer Store,Restaurant,Japanese Restaurant,Coffee Shop,Concert Hall,Café,Discount Store,Supermarket
14,M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887,1.0,Skating Rink,Park,Pharmacy,Video Store,Beer Store,Spa,Athletics & Sports,Curling Ice,Cosmetics Shop,Doner Restaurant
